datetime,symbol,open,high,low,close,volume
2021-03-22 22:00:00,TRADENATION:SOLANA,14.888,15.194,14.193,14.193,0.0
2021-03-23 22:00:00,TRADENATION:SOLANA,14.184,15.257,13.628,13.629,0.0
2021-03-24 22:00:00,TRADENATION:SOLANA,13.629,13.629,12.679,12.988,0.0
2021-03-25 22:00:00,TRADENATION:SOLANA,12.988,14.75,12.422,14.75,0.0
2021-03-28 23:00:00,TRADENATION:SOLANA,18.22,18.909,17.715,18.878,0.0
2021-03-29 23:00:00,TRADENATION:SOLANA,18.878,21.4,18.878,19.156,0.0
2021-03-30 23:00:00,TRADENATION:SOLANA,19.156,19.677,18.534,19.437,0.0
2021-03-31 23:00:00,TRADENATION:SOLANA,19.437,20.6,18.66,19.07,0.0
2021-04-01 23:00:00,TRADENATION:SOLANA,19.07,19.749,18.612,19.749,0.0
2021-04-04 23:00:00,TRADENATION:SOLANA,23.876,24.463,22.906,22.957,0.0
2021-04-05 23:00:00,TRADENATION:SOLANA,22.957,24.994,21.913,24.971,0.0
2021-04-06 23:00:00,TRADENATION:SOLANA,24.971,27.304,23.364,26.478,0.0
2021-04-07 23:00:00,TRADENATION:SOLANA,26.478,29.0,23.5,27.723,0.0
2021-04-11 23:00:00,TRADENATION:SOLANA,27.812,29.45,27.043,28.547,0.0
2021-04-12 23:00:00,TRADENATION:SOLANA,28.547,29.5,25.274,27.75,0.0
2021-04-13 23:00:00,TRADENATION:SOLANA,27.75,31.0,24.962,26.465,0.0
2021-04-14 23:00:00,TRADENATION:SOLANA,26.465,27.626,25.4,27.001,0.0
2021-04-15 23:00:00,TRADENATION:SOLANA,27.001,27.891,25.096,25.342,0.0
2021-04-18 23:00:00,TRADENATION:SOLANA,28.3,35.497,28.3,28.8,0.0
2021-04-19 23:00:00,TRADENATION:SOLANA,28.8,32.232,26.0,31.752,0.0
2021-04-20 23:00:00,TRADENATION:SOLANA,31.752,34.819,30.549,32.536,0.0
2021-04-21 23:00:00,TRADENATION:SOLANA,32.536,40.262,32.536,39.015,0.0
2021-04-22 23:00:00,TRADENATION:SOLANA,39.015,41.0,31.0,36.006,0.0
2021-04-25 23:00:00,TRADENATION:SOLANA,47.466,48.36,43.504,44.5,0.0
2021-04-26 23:00:00,TRADENATION:SOLANA,44.5,46.167,42.83,43.253,0.0
2021-04-27 23:00:00,TRADENATION:SOLANA,43.253,46.245,41.448,44.97,0.0
2021-04-28 23:00:00,TRADENATION:SOLANA,44.97,45.365,41.762,42.637,0.0
2021-04-29 23:00:00,TRADENATION:SOLANA,42.614,42.614,42.586,42.586,0.0
2021-05-02 23:00:00,TRADENATION:SOLANA,46.913,46.913,45.904,45.904,297970.0
2021-05-03 23:00:00,TRADENATION:SOLANA,45.904,45.904,42.705,42.705,280590.0
2021-05-04 23:00:00,TRADENATION:SOLANA,42.705,44.883,42.705,44.883,285330.0
2021-05-05 23:00:00,TRADENATION:SOLANA,44.883,44.883,43.446,43.446,276990.0
2021-05-06 23:00:00,TRADENATION:SOLANA,43.446,43.446,43.001,43.001,284870.0
2021-05-09 23:00:00,TRADENATION:SOLANA,44.304,44.304,42.829,42.829,297730.0
2021-05-10 23:00:00,TRADENATION:SOLANA,42.829,44.622,40.555,44.622,287060.0
2021-05-11 23:00:00,TRADENATION:SOLANA,44.622,47.534,43.017,43.017,276940.0
2021-05-12 23:00:00,TRADENATION:SOLANA,43.017,44.49,40.233,40.233,115240.0
2021-05-13 23:00:00,TRADENATION:SOLANA,40.233,42.781,40.233,42.781,129820.0
2021-05-16 23:00:00,TRADENATION:SOLANA,46.98,46.98,46.837,46.837,227850.0
2021-05-17 23:00:00,TRADENATION:SOLANA,46.837,56.083,46.837,56.083,303010.0
2021-05-18 23:00:00,TRADENATION:SOLANA,56.083,56.083,35.698,35.698,328540.0
2021-05-19 23:00:00,TRADENATION:SOLANA,35.698,44.748,35.698,44.748,320880.0
2021-05-20 23:00:00,TRADENATION:SOLANA,44.748,44.748,38.667,38.667,312460.0
2021-05-23 23:00:00,TRADENATION:SOLANA,24.611,32.08,24.611,30.637,0.0
2021-05-24 23:00:00,TRADENATION:SOLANA,30.637,32.604,26.383,29.944,0.0
2021-05-25 23:00:00,TRADENATION:SOLANA,29.944,36.311,29.45,35.5,0.0
2021-05-26 23:00:00,TRADENATION:SOLANA,35.5,35.5,31.526,33.517,0.0
2021-05-27 23:00:00,TRADENATION:SOLANA,33.517,34.075,28.513,29.087,0.0
2021-05-30 23:00:00,TRADENATION:SOLANA,28.519,32.812,27.0,32.724,0.0
2021-05-31 23:00:00,TRADENATION:SOLANA,32.724,32.741,30.246,31.002,0.0
2021-06-01 23:00:00,TRADENATION:SOLANA,31.002,34.486,30.552,34.009,0.0
2021-06-02 23:00:00,TRADENATION:SOLANA,34.009,40.993,34.009,39.461,0.0
2021-06-03 23:00:00,TRADENATION:SOLANA,39.461,39.461,34.661,37.435,0.0
2021-06-06 23:00:00,TRADENATION:SOLANA,42.209,43.91,38.272,38.272,0.0
2021-06-07 23:00:00,TRADENATION:SOLANA,38.272,42.287,33.824,41.34,0.0
2021-06-08 23:00:00,TRADENATION:SOLANA,41.34,43.864,39.668,42.041,0.0
2021-06-09 23:00:00,TRADENATION:SOLANA,42.041,42.901,39.869,41.124,0.0
2021-06-10 23:00:00,TRADENATION:SOLANA,41.124,41.124,35.5,36.012,0.0
2021-06-13 23:00:00,TRADENATION:SOLANA,38.806,40.168,36.931,39.703,0.0
2021-06-14 23:00:00,TRADENATION:SOLANA,39.703,41.339,39.554,39.592,0.0
2021-06-15 23:00:00,TRADENATION:SOLANA,39.592,40.925,37.78,39.334,0.0
2021-06-16 23:00:00,TRADENATION:SOLANA,39.334,41.317,38.472,39.4,0.0
2021-06-17 23:00:00,TRADENATION:SOLANA,38.824,39.216,35.515,36.65,0.0
2021-06-20 23:00:00,TRADENATION:SOLANA,35.32,35.799,26.08,26.601,0.0
2021-06-21 23:00:00,TRADENATION:SOLANA,26.601,28.233,20.472,26.685,0.0
2021-06-22 23:00:00,TRADENATION:SOLANA,26.685,32.09,26.042,30.855,0.0
2021-06-23 23:00:00,TRADENATION:SOLANA,30.855,32.446,28.678,31.245,0.0
2021-06-24 23:00:00,TRADENATION:SOLANA,31.245,32.684,28.53,28.797,0.0
2021-06-27 23:00:00,TRADENATION:SOLANA,31.821,33.745,31.155,32.99,0.0
2021-06-28 23:00:00,TRADENATION:SOLANA,32.99,35.5,32.834,33.885,0.0
2021-06-29 23:00:00,TRADENATION:SOLANA,33.885,35.861,31.315,35.536,0.0
2021-06-30 23:00:00,TRADENATION:SOLANA,35.536,36.115,32.0,33.375,0.0
2021-07-01 23:00:00,TRADENATION:SOLANA,33.375,34.0,31.655,34.0,0.0
2021-07-04 23:00:00,TRADENATION:SOLANA,34.36,34.36,32.594,32.966,0.0
2021-07-05 23:00:00,TRADENATION:SOLANA,32.966,34.443,32.966,33.643,0.0
2021-07-06 23:00:00,TRADENATION:SOLANA,34.196,37.904,34.196,36.537,0.0
2021-07-07 23:00:00,TRADENATION:SOLANA,36.537,36.772,32.864,32.902,0.0
2021-07-08 23:00:00,TRADENATION:SOLANA,33.258,34.381,32.287,33.364,0.0
2021-07-11 23:00:00,TRADENATION:SOLANA,32.115,32.6,30.102,30.88,0.0
2021-07-12 23:00:00,TRADENATION:SOLANA,30.88,30.995,29.0,29.052,0.0
2021-07-13 23:00:00,TRADENATION:SOLANA,29.052,31.393,27.513,31.259,0.0
2021-07-14 23:00:00,TRADENATION:SOLANA,31.259,31.426,28.08,28.456,0.0
2021-07-15 23:00:00,TRADENATION:SOLANA,28.456,29.401,26.274,26.307,0.0
2021-07-18 23:00:00,TRADENATION:SOLANA,26.726,26.726,24.059,24.495,0.0
2021-07-19 23:00:00,TRADENATION:SOLANA,24.495,24.912,22.23,23.482,0.0
2021-07-20 23:00:00,TRADENATION:SOLANA,23.482,27.353,22.846,26.641,0.0
2021-07-21 23:00:00,TRADENATION:SOLANA,26.641,28.05,26.003,27.748,0.0
2021-07-22 23:00:00,TRADENATION:SOLANA,27.748,28.655,26.42,28.47,0.0
2021-07-25 23:00:00,TRADENATION:SOLANA,28.133,31.039,27.952,28.251,0.0
2021-07-26 23:00:00,TRADENATION:SOLANA,28.251,28.886,27.0,28.018,0.0
2021-07-27 23:00:00,TRADENATION:SOLANA,28.018,28.62,27.5,27.857,0.0
2021-07-28 23:00:00,TRADENATION:SOLANA,27.857,31.912,27.374,31.268,0.0
2021-07-29 23:00:00,TRADENATION:SOLANA,31.268,33.009,30.086,32.356,0.0
2021-08-01 23:00:00,TRADENATION:SOLANA,34.276,35.837,33.098,33.169,0.0
2021-08-02 23:00:00,TRADENATION:SOLANA,33.169,35.762,32.2,33.96,0.0
2021-08-03 23:00:00,TRADENATION:SOLANA,33.96,36.6,33.326,35.706,0.0
2021-08-04 23:00:00,TRADENATION:SOLANA,35.706,38.169,35.596,37.408,0.0
